計算,名稱,"位置 X","位置 Y",內容,"文字位置 X","文字位置 Y","中心 X","中心 Y","開始 X","開始 Y","終結 X","終結 Y"
1,多行文字,-267309.467,-204846.8957,187,,,,,,,,
1,多行文字,-267569.467,-204846.8957,186,,,,,,,,
1,多行文字,-267309.467,-204496.8957,166,,,,,,,,
1,多行文字,-267569.467,-204496.8957,165,,,,,,,,
1,圓,,,,,,-268269.7651,-205560.491,,,,
1,圓,,,,,,-268269.7651,-204960.491,,,,
1,圓,,,,,,-268269.7651,-204610.491,,,,
1,HH3,-267789.7651,-205560.491,,,,,,,,,
1,HH3,-268269.7651,-205560.491,,,,,,,,,
1,HH3,-268269.7651,-204960.491,,,,,,,,,
1,HH3,-268269.7651,-204610.491,,,,,,,,,
1,HH3,-267409.7651,-204960.491,,,,,,,,,
1,HH3,-267669.7651,-204960.491,,,,,,,,,
1,HH3,-267409.7651,-204610.491,,,,,,,,,
1,HH3,-267669.7651,-204610.491,,,,,,,,,
1,多行文字,-267689.467,-206026.8957,224,,,,,,,,
1,多行文字,-267309.467,-206346.8957,243,,,,,,,,
1,多行文字,-267309.467,-206026.8957,225,,,,,,,,
1,多行文字,-268169.467,-206346.8957,241,,,,,,,,
1,多行文字,-268169.467,-206026.8957,223,,,,,,,,
1,多行文字,-267569.467,-206346.8957,242,,,,,,,,
1,圓,,,,,,-267669.7651,-206460.491,,,,
1,圓,,,,,,-267409.7651,-206460.491,,,,
1,圓,,,,,,-267409.7651,-206140.491,,,,
1,圓,,,,,,-267789.7651,-206140.491,,,,
1,圓,,,,,,-268269.7651,-206460.491,,,,
1,圓,,,,,,-268269.7651,-206140.491,,,,
1,HH3,-267789.7651,-206140.491,,,,,,,,,
1,HH3,-267409.7651,-206460.491,,,,,,,,,
1,HH3,-267409.7651,-206140.491,,,,,,,,,
1,HH3,-268269.7651,-206460.491,,,,,,,,,
1,HH3,-268269.7651,-206140.491,,,,,,,,,
1,HH3,-267669.7651,-206460.491,,,,,,,,,
1,多行文字,-268899.467,-205446.8957,204,,,,,,,,
1,多行文字,-268899.467,-204846.8957,183,,,,,,,,
1,多行文字,-268899.467,-204496.8957,162,,,,,,,,
1,圓,,,,,,-269049.7651,-205560.491,,,,
1,圓,,,,,,-268569.7651,-205560.491,,,,
1,圓,,,,,,-269049.7651,-204960.491,,,,
1,圓,,,,,,-268569.7651,-204960.491,,,,
1,圓,,,,,,-269049.7651,-204610.491,,,,
1,圓,,,,,,-268569.7651,-204610.491,,,,
1,HH3,-268569.7651,-205560.491,,,,,,,,,
1,HH3,-269049.7651,-205560.491,,,,,,,,,
1,HH3,-268569.7651,-204960.491,,,,,,,,,
1,HH3,-269049.7651,-204960.491,,,,,,,,,
1,HH3,-268569.7651,-204610.491,,,,,,,,,
1,HH3,-269049.7651,-204610.491,,,,,,,,,
1,多行文字,-269369.467,-205446.8957,203,,,,,,,,
1,多行文字,-269369.467,-204846.8957,182,,,,,,,,
1,多行文字,-269369.467,-204496.8957,161,,,,,,,,
1,圓,,,,,,-269469.7651,-205560.491,,,,
1,圓,,,,,,-269469.7651,-204960.491,,,,
1,圓,,,,,,-269469.7651,-204610.491,,,,
1,HH3,-269469.7651,-205560.491,,,,,,,,,
1,HH3,-269469.7651,-204960.491,,,,,,,,,
1,HH3,-269469.7651,-204610.491,,,,,,,,,
1,多行文字,-268899.467,-206346.8957,239,,,,,,,,
1,多行文字,-269369.467,-206346.8957,238,,,,,,,,
1,多行文字,-268899.467,-206026.8957,221,,,,,,,,
1,多行文字,-269369.467,-206026.8957,220,,,,,,,,
1,圓,,,,,,-269469.7651,-206460.491,,,,
1,圓,,,,,,-269049.7651,-206460.491,,,,
1,圓,,,,,,-268569.7651,-206460.491,,,,
1,圓,,,,,,-269469.7651,-206140.491,,,,
1,圓,,,,,,-269049.7651,-206140.491,,,,
1,圓,,,,,,-268569.7651,-206140.491,,,,
1,HH3,-268569.7651,-206460.491,,,,,,,,,
1,HH3,-269049.7651,-206460.491,,,,,,,,,
1,HH3,-269469.7651,-206460.491,,,,,,,,,
1,HH3,-268569.7651,-206140.491,,,,,,,,,
1,HH3,-269049.7651,-206140.491,,,,,,,,,
1,HH3,-269469.7651,-206140.491,,,,,,,,,
1,多行文字,-268469.467,-206346.8957,240,,,,,,,,
1,多行文字,-268469.467,-206026.8957,222,,,,,,,,
1,多行文字,-268469.467,-205446.8957,205,,,,,,,,
1,多行文字,-268469.467,-204846.8957,184,,,,,,,,
1,多行文字,-268469.467,-204496.8957,163,,,,,,,,
1,圓,,,,,,-269469.7651,-204280.491,,,,
1,圓,,,,,,-269049.7651,-204280.491,,,,
1,圓,,,,,,-268569.7651,-204280.491,,,,
1,圓,,,,,,-268269.7651,-204280.491,,,,
1,多行文字,-270509.467,-202016.8957,39,,,,,,,,
1,多行文字,-270509.467,-202336.8957,40,,,,,,,,
1,多行文字,-269969.4669,-202766.8957,75,,,,,,,,
1,多行文字,-269969.467,-202166.8957,41,,,,,,,,
1,多行文字,-271109.467,-202646.8957,73,,,,,,,,
1,多行文字,-271109.467,-202166.8957,38,,,,,,,,
1,圓,,,,,,-270609.7651,-202130.491,,,,
1,圓,,,,,,-270609.7651,-202450.491,,,,
1,圓,,,,,,-270069.765,-202880.491,,,,
1,圓,,,,,,-270069.765,-202280.491,,,,
1,HH3,-270609.7651,-202130.491,,,,,,,,,
1,HH3,-270609.7651,-202450.491,,,,,,,,,
1,HH3,-270069.765,-202880.491,,,,,,,,,
1,HH3,-270069.7651,-201630.491,,,,,,,,,
1,HH3,-270069.7651,-202280.491,,,,,,,,,
1,HH3,-270609.7651,-201630.491,,,,,,,,,
1,多行文字,-269969.467,-204166.8957,144,,,,,,,,
1,多行文字,-270509.467,-204166.8957,143,,,,,,,,
1,多行文字,-269969.467,-203566.8957,121,,,,,,,,
1,多行文字,-270509.467,-203566.8957,120,,,,,,,,
1,多行文字,-269969.4669,-203236.8957,98,,,,,,,,
1,多行文字,-270509.467,-203236.8957,97,,,,,,,,
1,圓,,,,,,-270609.7651,-203100.491,,,,
1,圓,,,,,,-270609.7651,-203350.491,,,,
1,圓,,,,,,-270609.7651,-203680.491,,,,
1,圓,,,,,,-270069.765,-203350.491,,,,
1,圓,,,,,,-270069.765,-203680.491,,,,
1,HH3,-270069.7651,-204280.491,,,,,,,,,
1,HH3,-270609.7651,-204280.491,,,,,,,,,
1,HH3,-270069.7651,-203680.491,,,,,,,,,
1,HH3,-270609.7651,-203680.491,,,,,,,,,
1,HH3,-270069.765,-203350.491,,,,,,,,,
1,HH3,-270609.7651,-203350.491,,,,,,,,,
1,HH3,-270609.7651,-203100.491,,,,,,,,,
1,多行文字,-270509.467,-202986.8957,74,,,,,,,,
1,多行文字,-271979.467,-202766.8957,71,,,,,,,,
1,多行文字,-271979.467,-202166.8957,36,,,,,,,,
1,多行文字,-271709.467,-202766.8957,72,,,,,,,,
1,多行文字,-271709.467,-202166.8957,37,,,,,,,,
1,圓,,,,,,-271809.7651,-202880.491,,,,
1,圓,,,,,,-271809.7651,-202280.491,,,,
1,圓,,,,,,-272079.7651,-202880.491,,,,
1,圓,,,,,,-272079.7651,-202280.491,,,,
1,HH3,-272079.7651,-202880.491,,,,,,,,,
1,HH3,-272079.7651,-201630.491,,,,,,,,,
1,HH3,-272079.7651,-202280.491,,,,,,,,,
1,HH3,-271209.7651,-202760.491,,,,,,,,,
1,HH3,-271209.7651,-201630.491,,,,,,,,,
1,HH3,-271209.7651,-202280.491,,,,,,,,,
1,HH3,-271809.7651,-202880.491,,,,,,,,,
1,HH3,-271809.7651,-201630.491,,,,,,,,,
1,HH3,-271809.7651,-202280.491,,,,,,,,,
1,文字,-271384.88,-204295.3803,R-Y6,,,,,,,,
1,文字,-271384.88,-203695.3803,R-Y5,,,,,,,,
1,文字,-271384.88,-203364.4237,R-Y4,,,,,,,,
1,聚合線,,,,,,,,,,,
1,聚合線,,,,,,,,,,,
1,旋轉標註,,,,-271322.6939,-203515.491,,,,,,
1,旋轉標註,,,,-271322.6814,-203980.491,,,,,,
1,旋轉標註,,,,-271322.6814,-203115.491,,,,,,
1,圓,,,,,,-271209.7651,-202760.491,,,,
1,圓,,,,,,-271209.7651,-202280.491,,,,
1,多行文字,-269969.467,-206346.8957,237,,,,,,,,
1,多行文字,-270509.467,-206346.8957,236,,,,,,,,
1,多行文字,-269969.467,-206026.8957,219,,,,,,,,
1,多行文字,-270509.467,-206026.8957,218,,,,,,,,
1,多行文字,-269969.467,-205446.8957,202,,,,,,,,
1,多行文字,-270509.467,-205446.8957,201,,,,,,,,
1,多行文字,-269969.467,-204846.8957,181,,,,,,,,
1,多行文字,-270509.467,-204846.8957,180,,,,,,,,
1,多行文字,-269969.467,-204496.8957,160,,,,,,,,
1,多行文字,-270509.467,-204496.8957,159,,,,,,,,
1,HH3,-270069.7651,-206460.491,,,,,,,,,
1,HH3,-270609.7651,-206460.491,,,,,,,,,
1,HH3,-270069.7651,-206140.491,,,,,,,,,
1,HH3,-270609.7651,-206140.491,,,,,,,,,
1,HH3,-270069.7651,-205560.491,,,,,,,,,
1,HH3,-270609.7651,-205560.491,,,,,,,,,
1,HH3,-270069.7651,-204960.491,,,,,,,,,
1,HH3,-270609.7651,-204960.491,,,,,,,,,
1,HH3,-270069.7651,-204610.491,,,,,,,,,
1,HH3,-270609.7651,-204610.491,,,,,,,,,
1,文字,-271395.4876,-206475.3803,R-Y11,,,,,,,,
1,文字,-271395.4876,-206155.3803,R-Y10,,,,,,,,
1,文字,-271384.88,-205575.3803,R-Y9,,,,,,,,
1,文字,-271384.88,-204975.3803,R-Y8,,,,,,,,
1,文字,-271384.88,-204625.3803,R-Y7,,,,,,,,
1,遮蔽,-271395.5322,-205013.6788,,,,,,,,,
1,遮蔽,-271395.5322,-204663.6788,,,,,,,,,
1,聚合線,,,,,,,,,,,
1,聚合線,,,,,,,,,,,
1,聚合線,,,,,,,,,,,
1,旋轉標註,,,,-271322.6939,-204785.491,,,,,,
1,旋轉標註,,,,-271322.6814,-205260.491,,,,,,
1,旋轉標註,,,,-271322.6814,-205850.491,,,,,,
1,旋轉標註,,,,-271322.6939,-206300.491,,,,,,
1,聚合線,,,,,,,,,,,
1,旋轉標註,,,,-271322.6939,-204445.491,,,,,,
1,旋轉標註,,,,-271322.6814,-206760.491,,,,,,
1,線,,,,,,,,-271209.7651,-206460.491,-262054.8888,-206460.491
1,線,,,,,,,,-271209.7651,-206140.491,-262054.8888,-206140.491
1,線,,,,,,,,-271209.7651,-205560.491,-262054.8888,-205560.491
1,線,,,,,,,,-271209.7651,-204960.491,-262054.8888,-204960.491
1,線,,,,,,,,-271209.7651,-204610.491,-262054.8888,-204610.491
1,線,,,,,,,,-271209.7651,-204280.491,-262054.8888,-204280.491
1,線,,,,,,,,-271209.7651,-203680.491,-262054.8888,-203680.491
1,線,,,,,,,,-271209.7651,-203350.491,-262073.6238,-203350.491
1,線,,,,,,,,-271209.7651,-207060.491,-262054.8888,-207060.491
1,文字,-261942.7131,-201653.4237,Y1,,,,,,,,
1,聚合線,,,,,,,,,,,
1,旋轉標註,,,,-261756.7538,-204222.991,,,,,,
1,線,,,,,,,,-268269.7651,-201246.6419,-268269.7651,-207314.3142
1,線,,,,,,,,-272079.7651,-201246.6419,-272079.7651,-203430.491
1,旋轉標註,,,,-262055.1648,-201507.991,,,,,,
1,線,,,,,,,,-262819.7651,-201246.6419,-262819.7651,-207314.3142
1,線,,,,,,,,-263299.7651,-201246.6419,-263299.7651,-207314.3142
1,線,,,,,,,,-263949.7651,-201246.6419,-263949.7651,-207314.3142
1,線,,,,,,,,-264549.7651,-201246.6419,-264549.7651,-207314.3142
1,線,,,,,,,,-265119.7651,-201246.6419,-265119.7651,-207314.3142
1,線,,,,,,,,-265769.7651,-201246.6419,-265769.7651,-207314.3142
1,線,,,,,,,,-266309.7651,-201246.6419,-266309.7651,-207314.3142
1,線,,,,,,,,-266809.7651,-201246.6419,-266809.7651,-207314.3142
1,線,,,,,,,,-267409.7651,-201246.6419,-267409.7651,-207314.3142
1,線,,,,,,,,-267669.7651,-201246.6419,-267669.7651,-207314.3142
1,線,,,,,,,,-268569.7651,-201246.6419,-268569.7651,-207314.3142
1,線,,,,,,,,-269049.7651,-201246.6419,-269049.7651,-207314.3142
1,線,,,,,,,,-269469.7651,-201246.6419,-269469.7651,-207314.3142
1,線,,,,,,,,-270069.7651,-201246.6419,-270069.7651,-207314.3142
1,線,,,,,,,,-270609.7651,-201246.6419,-270609.7651,-207314.3142
1,線,,,,,,,,-271209.7651,-201246.6419,-271209.7651,-203430.491
1,線,,,,,,,,-271809.7651,-201246.6419,-271809.7651,-203430.491
1,線,,,,,,,,-262279.7651,-201246.6419,-262279.7651,-207314.3142
1,多行文字,-272579.467,-201516.8957,8,,,,,,,,
1,文字,-272713.7096,-201168.7443,X8,,,,,,,,
1,聚合線,,,,,,,,,,,
1,文字,-273013.7096,-201168.7443,X7,,,,,,,,
1,聚合線,,,,,,,,,,,
1,文字,-273543.7096,-201168.7443,X6,,,,,,,,
1,聚合線,,,,,,,,,,,
1,旋轉標註,,,,-272829.7651,-201165.6719,,,,,,
1,旋轉標註,,,,-273244.7651,-201165.6719,,,,,,
1,旋轉標註,,,,-273694.7651,-201165.6719,,,,,,
1,多行文字,-274299.467,-201516.8957,4,,,,,,,,
1,多行文字,-274819.467,-201516.8957,3,,,,,,,,
1,多行文字,-275089.467,-201516.8957,2,,,,,,,,
1,文字,-274433.7096,-201168.7443,X4,,,,,,,,
1,聚合線,,,,,,,,,,,
1,文字,-274953.7096,-201168.7443,X3,,,,,,,,
1,聚合線,,,,,,,,,,,
1,文字,-275223.7096,-201168.7443,X2,,,,,,,,
1,聚合線,,,,,,,,,,,
1,旋轉標註,,,,-274659.7651,-201165.6719,,,,,,
1,旋轉標註,,,,-275054.7651,-201165.6719,,,,,,
1,文字,-273913.7096,-201168.7443,X5,,,,,,,,
1,聚合線,,,,,,,,,,,
1,旋轉標註,,,,-274139.7651,-201165.6719,,,,,,
1,多行文字,-275689.467,-201516.8957,1,,,,,,,,
1,文字,-275823.7096,-201168.7443,X1,,,,,,,,
1,聚合線,,,,,,,,,,,
1,旋轉標註,,,,-276079.7651,-201165.6844,,,,,,
1,旋轉標註,,,,-275489.7651,-201165.6844,,,,,,
1,多行文字,-272879.467,-201696.8957,7,,,,,,,,
1,多行文字,-272879.467,-202766.8957,69,,,,,,,,
1,多行文字,-272879.467,-202166.8957,34,,,,,,,,
1,圓,,,,,,-272679.7651,-202880.491,,,,
1,圓,,,,,,-272679.7651,-202280.491,,,,
1,圓,,,,,,-272979.7651,-202880.491,,,,
1,圓,,,,,,-272979.7651,-202280.491,,,,
1,HH3,-272979.7651,-201810.491,,,,,,,,,
1,HH3,-272679.7651,-202880.491,,,,,,,,,
1,HH3,-272679.7651,-201630.491,,,,,,,,,
1,HH3,-272679.7651,-202280.491,,,,,,,,,
1,HH3,-272979.7651,-202880.491,,,,,,,,,
1,HH3,-272979.7651,-202280.491,,,,,,,,,
1,多行文字,-273779.467,-202886.8957,66,,,,,,,,
1,多行文字,-273409.467,-202766.8957,68,,,,,,,,
1,多行文字,-273409.467,-201696.8957,6,,,,,,,,
1,多行文字,-273409.467,-202166.8957,33,,,,,,,,
1,多行文字,-273779.467,-202586.8957,67,,,,,,,,
1,多行文字,-273779.467,-201696.8957,5,,,,,,,,
1,多行文字,-273779.467,-202166.8957,32,,,,,,,,
1,圓,,,,,,-273509.7651,-202880.491,,,,
1,圓,,,,,,-273509.7651,-202280.491,,,,
1,HH3,-273509.7651,-202880.491,,,,,,,,,
1,HH3,-273509.7651,-201810.491,,,,,,,,,
1,HH3,-273509.7651,-202280.491,,,,,,,,,
1,HH3,-273879.7651,-202700.491,,,,,,,,,
1,HH3,-273879.7651,-201810.491,,,,,,,,,
1,HH3,-273879.7651,-202280.491,,,,,,,,,
1,多行文字,-273779.467,-203696.8957,119,,,,,,,,
1,多行文字,-273779.467,-203316.8957,96,,,,,,,,
1,文字,-273234.1838,-203824.4237,L-Y5,,,,,,,,
1,聚合線,,,,,,,,,,,
1,文字,-273234.1838,-203444.4237,L-Y4,,,,,,,,
1,聚合線,,,,,,,,,,,
1,HH3,-273879.7651,-203000.491,,,,,,,,,
1,HH3,-273879.7651,-203810.491,,,,,,,,,
1,HH3,-273879.7651,-203430.491,,,,,,,,,
1,旋轉標註,,,,-273338.1635,-203620.491,,,,,,
1,旋轉標註,,,,-273338.2217,-203155.491,,,,,,
1,多行文字,-274299.467,-202886.8957,64,,,,,,,,
1,多行文字,-274299.467,-202586.8957,65,,,,,,,,
1,多行文字,-274299.467,-202166.8957,31,,,,,,,,
1,圓,,,,,,-274399.7651,-202700.491,,,,
1,圓,,,,,,-274399.7651,-202280.491,,,,
1,HH3,-274399.7651,-202700.491,,,,,,,,,
1,HH3,-274399.7651,-201630.491,,,,,,,,,
1,HH3,-274399.7651,-202280.491,,,,,,,,,
1,多行文字,-274819.467,-202886.8957,62,,,,,,,,
1,多行文字,-275089.467,-202886.8957,60,,,,,,,,
1,多行文字,-274819.467,-202586.8957,63,,,,,,,,
1,多行文字,-274819.467,-202166.8957,30,,,,,,,,
1,多行文字,-275089.467,-202586.8957,61,,,,,,,,
1,多行文字,-275089.467,-202166.8957,29,,,,,,,,
1,圓,,,,,,-274919.7651,-202700.491,,,,
1,圓,,,,,,-274919.7651,-202280.491,,,,
1,圓,,,,,,-275189.7651,-202700.491,,,,
1,圓,,,,,,-275189.7651,-202280.491,,,,
1,HH3,-274919.7651,-202700.491,,,,,,,,,
1,HH3,-274919.7651,-201630.491,,,,,,,,,
1,HH3,-274919.7651,-202280.491,,,,,,,,,
1,HH3,-275189.7651,-202700.491,,,,,,,,,
1,HH3,-275189.7651,-201630.491,,,,,,,,,
1,HH3,-275189.7651,-202280.491,,,,,,,,,
1,多行文字,-274299.467,-203696.8957,118,,,,,,,,
1,多行文字,-274299.467,-203316.8957,95,,,,,,,,
1,圓,,,,,,-274399.7651,-203810.491,,,,
1,圓,,,,,,-274399.7651,-203430.491,,,,
1,圓,,,,,,-274399.7651,-203000.491,,,,
1,HH3,-274399.7651,-203000.491,,,,,,,,,
1,HH3,-274399.7651,-203810.491,,,,,,,,,
1,HH3,-274399.7651,-203430.491,,,,,,,,,
1,多行文字,-274819.467,-203696.8957,117,,,,,,,,
1,多行文字,-274819.467,-203316.8957,94,,,,,,,,
1,多行文字,-275089.467,-203696.8957,116,,,,,,,,
1,多行文字,-275089.467,-203316.8957,93,,,,,,,,
1,圓,,,,,,-274919.7651,-203810.491,,,,
1,圓,,,,,,-274919.7651,-203430.491,,,,
1,圓,,,,,,-274919.7651,-203000.491,,,,
1,圓,,,,,,-275189.7651,-203810.491,,,,
1,圓,,,,,,-275189.7651,-203430.491,,,,
1,圓,,,,,,-275189.7651,-203000.491,,,,
1,HH3,-274919.7651,-203000.491,,,,,,,,,
1,HH3,-275189.7651,-203000.491,,,,,,,,,
1,HH3,-274919.7651,-203810.491,,,,,,,,,
1,HH3,-274919.7651,-203430.491,,,,,,,,,
1,HH3,-275189.7651,-203810.491,,,,,,,,,
1,HH3,-275189.7651,-203430.491,,,,,,,,,
1,圓,,,,,,-273879.7651,-203810.491,,,,
1,圓,,,,,,-273879.7651,-203430.491,,,,
1,圓,,,,,,-273879.7651,-203000.491,,,,
1,圓,,,,,,-273879.7651,-202700.491,,,,
1,圓,,,,,,-273879.7651,-202280.491,,,,
1,多行文字,-273779.467,-205246.8957,200,,,,,,,,
1,多行文字,-273779.467,-204896.8957,179,,,,,,,,
1,文字,-273234.1838,-205024.4237,L-Y7,,,,,,,,
1,遮蔽,-273244.8361,-205063.6788,,,,,,,,,
1,文字,-273234.1838,-205374.4237,L-Y8,,,,,,,,
1,聚合線,,,,,,,,,,,
1,文字,-273234.1838,-204424.4237,L-Y6,,,,,,,,
1,聚合線,,,,,,,,,,,
1,HH3,-273879.7651,-205360.491,,,,,,,,,
1,HH3,-273879.7651,-205010.491,,,,,,,,,
1,HH3,-273879.7651,-204410.491,,,,,,,,,
1,旋轉標註,,,,-273338.151,-204710.491,,,,,,
1,旋轉標註,,,,-273338.1635,-205185.491,,,,,,
1,旋轉標註,,,,-273338.151,-205610.491,,,,,,
1,多行文字,-274299.467,-205246.8957,199,,,,,,,,
1,多行文字,-274299.467,-204896.8957,178,,,,,,,,
1,HH3,-274399.7651,-205360.491,,,,,,,,,
1,HH3,-274399.7651,-205010.491,,,,,,,,,
1,HH3,-274399.7651,-204410.491,,,,,,,,,
1,多行文字,-274819.467,-205246.8957,198,,,,,,,,
1,多行文字,-274819.467,-204896.8957,177,,,,,,,,
1,多行文字,-275089.467,-205246.8957,197,,,,,,,,
1,多行文字,-275089.467,-204896.8957,176,,,,,,,,
1,圓,,,,,,-274919.7651,-205360.491,,,,
1,圓,,,,,,-274919.7651,-205010.491,,,,
1,圓,,,,,,-274919.7651,-204410.491,,,,
1,圓,,,,,,-275189.7651,-205360.491,,,,
1,圓,,,,,,-275189.7651,-205010.491,,,,
1,圓,,,,,,-275189.7651,-204410.491,,,,
1,HH3,-274919.7651,-205360.491,,,,,,,,,
1,HH3,-274919.7651,-205010.491,,,,,,,,,
1,HH3,-274919.7651,-204410.491,,,,,,,,,
1,HH3,-275189.7651,-205360.491,,,,,,,,,
1,HH3,-275189.7651,-205010.491,,,,,,,,,
1,HH3,-275189.7651,-204410.491,,,,,,,,,
1,多行文字,-273779.467,-204296.8957,142,,,,,,,,
1,多行文字,-274299.467,-204296.8957,141,,,,,,,,
1,多行文字,-274819.467,-204296.8957,140,,,,,,,,
1,多行文字,-275089.467,-204296.8957,139,,,,,,,,
1,旋轉標註,,,,-273338.151,-204110.491,,,,,,
1,多行文字,-275689.467,-202016.8957,28,,,,,,,,
1,多行文字,-275689.467,-203696.8957,115,,,,,,,,
1,多行文字,-275689.467,-203316.8957,92,,,,,,,,
1,多行文字,-275689.467,-202766.8957,58,,,,,,,,
1,多行文字,-275689.467,-202446.8957,59,,,,,,,,
1,圓,,,,,,-275789.7651,-203810.491,,,,
1,圓,,,,,,-275789.7651,-203430.491,,,,
1,圓,,,,,,-275789.7651,-202880.491,,,,
1,圓,,,,,,-275789.7651,-202560.491,,,,
1,圓,,,,,,-275789.7651,-202130.491,,,,
1,HH3,-275789.7651,-202130.491,,,,,,,,,
1,HH3,-275789.7651,-203810.491,,,,,,,,,
1,HH3,-275789.7651,-203430.491,,,,,,,,,
1,HH3,-275789.7651,-202880.491,,,,,,,,,
1,HH3,-275789.7651,-201630.491,,,,,,,,,
1,HH3,-275789.7651,-202560.491,,,,,,,,,
1,文字,-276670.3454,-203824.4237,L-Y5,,,,,,,,
1,聚合線,,,,,,,,,,,
1,文字,-276670.3454,-203444.4237,L-Y4,,,,,,,,
1,聚合線,,,,,,,,,,,
1,文字,-276661.8592,-202903.4237,Y3,,,,,,,,
1,聚合線,,,,,,,,,,,
1,文字,-276661.8592,-202303.4237,Y2,,,,,,,,
1,聚合線,,,,,,,,,,,
1,旋轉標註,,,,-276608.1468,-201955.491,,,,,,
1,旋轉標註,,,,-276608.1468,-202580.491,,,,,,
1,旋轉標註,,,,-276608.1468,-203155.491,,,,,,
1,旋轉標註,,,,-276608.1593,-203620.491,,,,,,
1,多行文字,-275689.467,-205246.8957,196,,,,,,,,
1,多行文字,-275689.467,-204896.8957,175,,,,,,,,
1,文字,-276670.3454,-205024.4237,L-Y7,,,,,,,,
1,遮蔽,-276680.9976,-205063.6788,,,,,,,,,
1,文字,-276670.3454,-205374.4237,L-Y8,,,,,,,,
1,聚合線,,,,,,,,,,,
1,文字,-276670.3454,-204424.4237,L-Y6,,,,,,,,
1,聚合線,,,,,,,,,,,
1,旋轉標註,,,,-276608.1468,-204710.491,,,,,,
1,旋轉標註,,,,-276608.1593,-205185.491,,,,,,
1,旋轉標註,,,,-276608.1468,-205610.491,,,,,,
1,圓,,,,,,-275789.7651,-205360.491,,,,
1,圓,,,,,,-275789.7651,-205010.491,,,,
1,圓,,,,,,-275789.7651,-204410.491,,,,
1,HH3,-275789.7651,-205360.491,,,,,,,,,
1,HH3,-275789.7651,-205010.491,,,,,,,,,
1,HH3,-275789.7651,-204410.491,,,,,,,,,
1,多行文字,-275689.467,-204296.8957,138,,,,,,,,
1,旋轉標註,,,,-276608.1468,-204110.491,,,,,,
1,線,,,,,,,,-273304.9776,-205860.491,-276486.5629,-205860.491
1,線,,,,,,,,-273304.9776,-205360.491,-276486.5629,-205360.491
1,線,,,,,,,,-273304.9776,-205010.491,-276486.5629,-205010.491
1,線,,,,,,,,-273304.9776,-204410.491,-276486.5629,-204410.491
1,線,,,,,,,,-273304.9776,-203810.491,-276486.5629,-203810.491
1,線,,,,,,,,-273304.9776,-203430.491,-276486.5629,-203430.491
1,文字,-276661.8592,-201653.4237,Y1,,,,,,,,
1,聚合線,,,,,,,,,,,
1,旋轉標註,,,,-276876.2625,-203622.991,,,,,,
1,旋轉標註,,,,-276608.1452,-201507.991,,,,,,
1,線,,,,,,,,-272679.7651,-201246.6419,-272679.7651,-203430.491
1,線,,,,,,,,-272979.7651,-201246.6419,-272979.7651,-203430.491
1,線,,,,,,,,-273509.7651,-201246.6419,-273509.7651,-206053.0675
1,線,,,,,,,,-273879.7651,-201246.6419,-273879.7651,-206053.0675
1,線,,,,,,,,-274399.7651,-201246.6419,-274399.7651,-206053.0675
1,線,,,,,,,,-274919.7651,-201246.6419,-274919.7651,-206053.0675
1,線,,,,,,,,-275189.7651,-201246.6419,-275189.7651,-206053.0675
1,線,,,,,,,,-275789.7651,-201246.6419,-275789.7651,-206053.0675
1,線,,,,,,,,-276369.7651,-201246.6419,-276369.7651,-206053.0675
1,多行文字,-272579.467,-202766.8957,70,,,,,,,,
1,多行文字,-272579.467,-202166.8957,35,,,,,,,,
1,旋轉標註,,,,-269324.7651,-200988.1445,,,,,,
1,旋轉標註,,,,-272379.7651,-201165.6844,,,,,,
1,線,,,,,,,,-276486.5629,-202880.491,-262073.6238,-202880.491
1,線,,,,,,,,-276486.5629,-202280.491,-262073.6238,-202280.491
1,線,,,,,,,,-276486.5629,-201630.491,-262073.6238,-201630.491
1,線,,,,,,,,-276486.5629,-201385.491,-262073.6238,-201385.491